gstin,pan,name,director_name,registered_address,registered_date,declared_turnover
09CTHNA5738X8ZF,CTHNA5738X,Bera Group,Sara Ganesh,"40, Wadhwa Path, Mangalore-720435",2017-12-15,37393892.96
09WQOXU0177Y2Z2,WQOXU0177Y,Trivedi LLC,Neel Apte,"H.No. 538, Dar Nagar, Nagercoil 754070",2017-07-14,14933479.65
07WLHPI7040Z1ZM,WLHPI7040Z,Sampath-Naik,Vasatika Halder,"64/452, Rattan Chowk, Surat 038928",2025-11-01,9597053.32
19BNNON0578A5Z3,BNNON0578A,More Group,Geetika Jani,"686, Bhatti Marg, Kharagpur-653959",2023-03-05,6562081.07
07CHHOM8004V6ZQ,CHHOM8004V,"Naidu, Wali and Tailor",Vedant Soni,"05/64, Ravel Circle, Dhanbad-499885",2022-09-04,40868689.13
36QTNQS4386N6ZP,QTNQS4386N,Deep Group,Ganga Bala,"H.No. 360, Contractor Marg, Berhampore-802487",2015-04-21,2262733.14
36WXSAA1297S3ZU,WXSAA1297S,"Garg, Shetty and Uppal",Dayita Upadhyay,"76, Yogi Path, Raurkela Industrial Township 825015",2018-05-30,3784289.07
06OHQAY8294U4ZZ,OHQAY8294U,"Nagarajan, Dass and Srinivas",Amara Sur,"377, Mitter Path, Rampur-008725",2024-09-04,11608615.06
29RFQIG4045A2ZT,RFQIG4045A,"Vaidya, Taneja and Dugar",Azaan Oza,"462, Ramanathan Chowk, Madanapalle-024505",2017-05-03,805613.56
06KKLTX9607W4ZR,KKLTX9607W,"Mohanty, Narang and Karnik",Reva Munshi,"20/592, Comar Path, Dhanbad-871986",2024-08-30,5774427.46
27AOUGE3452T1ZA,AOUGE3452T,"Verma, Ramesh and Karpe",Arjun Khatri,"66, Raval Circle, Faridabad 703682",2025-09-07,8096049.49
32IERNE2422B8ZA,IERNE2422B,Patel-Sastry,Mitali Sahni,"21/10, Thaker Marg, Muzaffarnagar-163843",2014-09-23,4614709.74
36FDOEB4350Q7Z0,FDOEB4350Q,Ranganathan-Thaker,Shaurya Sodhi,"330, Sheth Zila, Panvel-574574",2023-05-04,383897.13
06HXLBO5407A9Z1,HXLBO5407A,"Korpal, Ravel and Sani",Hemang Barman,"015, Toor Nagar, Malegaon 849048",2020-05-26,16131211.37
33UIKFO6405A5ZW,UIKFO6405A,"Chander, Rajagopal and Mangal",Vihaan Chaudhari,"84/38, Kalita Path, Nagercoil-206388",2019-02-05,14097771.51
24NHMQU6618T6ZC,NHMQU6618T,"Shankar, Bhatti and Nath",Leena Dayal,"61/69, Agrawal Chowk, Kanpur 433459",2025-04-12,7973948.76
07IVZHP2380K3ZI,IVZHP2380K,Loke LLC,Noah Kakar,"44, Sandhu Path, Ichalkaranji 561005",2021-09-15,39895997.02
24LGUEN4502I2Z0,LGUEN4502I,Bahl Inc,Agastya Edwin,"H.No. 174, Baria Nagar, Bhopal 222368",2023-01-03,10619851.60
06BEWIR7278G7ZT,BEWIR7278G,"Bandi, Bhatia and Raman",Veda Krishna,"24, Master Chowk, Kulti-935151",2019-06-10,6304252.31
07LTCRE5015X5ZU,LTCRE5015X,"Chacko, Dasgupta and Memon",Xiti Choudhary,"78/86, Gupta Marg, Meerut 090009",2017-06-21,1552814.07
06FZGPO5493V3ZW,FZGPO5493V,Suri PLC,Harish Chakrabarti,"93/107, Vora Road, Raiganj 841065",2024-07-09,28241884.63
07PAKOX6246F3Z0,PAKOX6246F,Mangal Inc,Luke Vala,"89, Khanna, Kolkata-596778",2018-10-10,15051100.45
19HXTLO5284W2Z8,HXTLO5284W,"Krishnan, Kumar and Pandit",Charita Nath,"H.No. 543, Chacko Path, Jaunpur-152042",2017-06-02,1925721.52
09WDSQN9863B6Z1,WDSQN9863B,"Mahal, Kunda and Kulkarni",Jagdish Dave,"H.No. 150, Ramakrishnan Road, Ramgarh 629987",2024-11-18,6508087.32
24ZZOBG6825L7Z0,ZZOBG6825L,Chowdhury-Badal,Ekaja Babu,"016, Gulati Nagar, Tiruchirappalli-182076",2018-05-01,57344471.39
36CDWBV6853K4ZW,CDWBV6853K,Bhatnagar and Sons,Akshay Madan,"80/738, Sachdev Ganj, Muzaffarpur 179055",2026-02-25,19804160.54
24EKFWU3301S6ZY,EKFWU3301S,"Rastogi, Chokshi and Chada",Jasmit Sharma,"31/395, Borah Nagar, Hapur 164454",2015-11-04,8499448.29
09ZMNED0112B5ZW,ZMNED0112B,"Chanda, Palan and Lall",Upasna Chand,"565, Bhagat Chowk, Raiganj 460577",2021-01-23,1166915.70
09WCMJE3121T6ZF,WCMJE3121T,Krishna-Gulati,Jonathan Loyal,"H.No. 536, Khanna Path, Vijayawada 089072",2021-12-20,970500.40
09UXBWM3889S2ZL,UXBWM3889S,"Luthra, Peri and Agarwal",Charvi Baral,"57/190, Bhalla Road, Satara 016081",2016-12-02,14794098.09
36TPAGA2433J6Z1,TPAGA2433J,Bail Group,Karan Jhaveri,"03/03, Edwin Circle, Hubli–Dharwad 366915",2021-04-01,536579.21
33JKNGJ9556U1ZL,JKNGJ9556U,Kala Ltd,Rachana Borde,"H.No. 333, Nadkarni Ganj, Giridih 389175",2023-12-24,23326.86
24VDOWI0010K9ZF,VDOWI0010K,Sachar-Wable,Wridesh Bobal,"96/39, Pall Nagar, Patiala-532058",2023-09-02,2692051.66
33MRVWL6247X4ZI,MRVWL6247X,Munshi LLC,Omkaar Chana,"09/348, Chanda Marg, Anand-881930",2017-08-18,27317561.60
09CYUCS1498V1Z7,CYUCS1498V,"Sethi, Sidhu and Deep",Nidhi Sura,"570, Mander Ganj, North Dumdum 949482",2017-02-28,25639590.76
32LZYBD0900B3ZV,LZYBD0900B,Bajaj-Ghose,Anmol Saxena,"H.No. 704, Sane Chowk, Eluru-287364",2024-08-17,67412.52
27DVSUH1074S9ZS,DVSUH1074S,Varty-Raju,Alexander Trivedi,"52/77, Nadkarni Zila, Nangloi Jat 413898",2019-04-02,29295212.07
19BJEQX3168S1ZF,BJEQX3168S,Roy-Kapoor,Chaaya Shan,"H.No. 03, Ramakrishnan Zila, Munger-726153",2017-05-04,35167033.21
19VRIIL2456A2ZD,VRIIL2456A,"Chada, Mahajan and Mukhopadhyay",Janya Natarajan,"87, Merchant Ganj, Ludhiana 005825",2017-03-13,6573306.36
27DZZXL2042V2ZG,DZZXL2042V,Sandhu Inc,Amrita Mitra,"90, Pradhan Ganj, Etawah 350471",2022-04-10,620985.42
19KBJMR2991M2ZT,KBJMR2991M,"Mitter, Yadav and Soman",Wahab Zachariah,"555, Mishra Ganj, Machilipatnam 688187",2018-06-15,1198860.89
27HADNB3801L2ZQ,HADNB3801L,Borde LLC,Ekaraj Ravel,"H.No. 028, Nath Ganj, Amaravati-175189",2026-03-31,13176198.61
06IVLUG8073R1Z4,IVLUG8073R,Pandya and Sons,Shravya Mandal,"H.No. 961, Sandhu Circle, Alappuzha 145823",2024-01-31,24578993.95
07ZLWOQ9513D2ZN,ZLWOQ9513D,"Sastry, Nagar and Dhawan",Charvi Garg,"H.No. 226, Dalal Circle, Patna 588080",2017-03-18,5807198.65
27IKVJU9154Y2ZU,IKVJU9154Y,Srivastava Ltd,Irya Om,"28/56, Ahuja Road, Jamalpur-962068",2017-12-05,3230232.77
19POEJW6057P9ZH,POEJW6057P,Ratta Ltd,Nihal Bakshi,"37/41, Sarkar Ganj, Jodhpur-213227",2023-01-11,26167105.35
09NLHMC3089B6ZH,NLHMC3089B,Goda and Sons,Amrita Bobal,"78/394, Atwal, Gandhinagar 196523",2016-07-09,11165355.92
07IIULP1904X2Z5,IIULP1904X,Vaidya Ltd,Isaiah Parikh,"462, Sibal Nagar, Gurgaon 658081",2024-07-09,17125423.87
09NUEGL8390G3ZC,NUEGL8390G,Purohit Group,Panini Shenoy,"78/043, Chana Ganj, Mathura-920143",2024-06-17,9142869.85
33LFGVN6180B4ZF,LFGVN6180B,Ravel Group,Maanas Mangal,"H.No. 464, Ghose Zila, Dhule-166589",2025-05-19,6051419.22
33RSDOL5680H1ZR,RSDOL5680H,"Kumar, Choudhary and Dass",Luke Issac,"302, Sathe Nagar, Morbi-270551",2025-11-02,12318938.29
07ALQAU5412C4Z4,ALQAU5412C,Mital-Edwin,Yochana Sachar,"H.No. 682, Bains Path, Kirari Suleman Nagar-452947",2015-11-25,1620692.69
36RQCZT3097O1ZV,RQCZT3097O,"Behl, Som and Johal",Fitan Bhardwaj,"411, Dass Marg, Panipat 534199",2020-02-07,6903995.92
29TUFKL9494W2Z1,TUFKL9494W,"Bhalla, Sodhi and Rajan",Ekaraj More,"35, Chana, Buxar-712020",2015-09-08,8175744.78
06PDPBZ4760M4ZZ,PDPBZ4760M,Master-Samra,Jackson Ray,"H.No. 867, Zachariah Circle, Vellore 595905",2021-07-22,7956167.46
33JUERL2771K9Z4,JUERL2771K,Arya-Dugal,Chandani Johal,"99/29, Raman Nagar, Berhampore 117626",2022-08-20,419681.19
29OZNMI0316Q7ZU,OZNMI0316Q,Pal-Mohan,Gautam Sampath,"H.No. 786, Naik Nagar, Visakhapatnam 216662",2020-10-17,9113396.32
06CWIJH5544Y4ZZ,CWIJH5544Y,Tak-Bakshi,Simon Doctor,"H.No. 69, Nadkarni, Agra-652354",2015-09-12,5838832.25
33LQFLG6054J6Z3,LQFLG6054J,"Suresh, Dewan and Vora",Karan Narang,"337, Bhargava Road, Bijapur 156168",2024-05-07,14683365.26
19PDXJR9723R6ZL,PDXJR9723R,Sridhar-Agate,Sai Trivedi,"H.No. 97, Dar Street, Parbhani 515208",2019-02-16,8604398.01
24NQVYR1871Z7Z4,NQVYR1871Z,"Devi, Bhavsar and Ganesan",Onveer Sen,"68/303, Lala, Nagpur 344148",2025-07-11,20935316.27
29RHKQP9117K8ZM,RHKQP9117K,Om-Dayal,Udarsh Sarraf,"H.No. 410, Barman, Gandhidham 458586",2025-09-19,27941029.23
33XQXXN0686X8ZB,XQXXN0686X,"Buch, Kaur and Raja",Pallavi Sem,"194, Puri Marg, Bhilwara 635018",2021-11-27,1019104.84
19VFTLC0226Q9Z0,VFTLC0226Q,Mody-Grover,Mohini Dewan,"61/499, Johal, Tenali-746126",2025-05-29,30903416.74
29VKGNQ2856J1ZO,VKGNQ2856J,"Modi, Swaminathan and Dash",Vincent Kalla,"H.No. 19, Palan Path, Ghaziabad 226332",2025-09-10,33987453.47
33YEHQG7413N3Z7,YEHQG7413N,Kannan-Kibe,Eesha Sankaran,"09/011, Parmer Zila, Eluru-024300",2024-03-29,810202.09
09ICJVT9078W5Z0,ICJVT9078W,Dugar-Garg,Zehaan Sankar,"H.No. 04, Doctor Ganj, Muzaffarnagar 341682",2016-05-12,7917231.67
33AQUSC1512F7ZT,AQUSC1512F,Dani-Arora,Ucchal Korpal,"H.No. 13, Shenoy Zila, Moradabad 241735",2020-10-10,20602568.32
09RDHMM1867E1ZU,RDHMM1867E,Barman-Nadig,Yashasvi Tank,"H.No. 419, Gokhale Zila, Dhule 764689",2015-05-06,6566111.14
36ADJGA6632V7Z0,ADJGA6632V,"Wable, Dhar and Roy",Zashil Arora,"25/16, Khosla Ganj, Kurnool 509979",2019-10-11,33362382.83
09MKRZT9949S5Z8,MKRZT9949S,Mitter LLC,Yashodhara Minhas,"068, Rao Zila, Raichur-534605",2018-08-16,25506668.49
06EAYUZ7475F5Z6,EAYUZ7475F,Das-Taneja,Kashvi Johal,"64/941, Kashyap Ganj, Vijayawada 438543",2015-08-14,18999209.18
29MREVK0679V5ZK,MREVK0679V,"Nath, Walla and Parekh",Indali Anand,"36/083, Chad Nagar, Kurnool-235970",2023-01-07,115155.15
29CXBQL9434Z8ZQ,CXBQL9434Z,Walia and Sons,Tanmayi Wable,"15/96, Chadha Nagar, Dehradun-318251",2025-07-07,1302111.05
19HJDSX9076L2ZE,HJDSX9076L,Mammen-Dhar,Anya Wali,"35/185, Sood Marg, Nadiad-144472",2025-12-01,8349894.00
32NPDEW0205J2ZP,NPDEW0205J,Kannan-Chokshi,Ekavir Khanna,"30/115, Deshmukh Circle, Amritsar-894159",2018-05-31,9120137.89
07TSRIZ6159K3ZV,TSRIZ6159K,Pillai-Gaba,Caleb Sengupta,"H.No. 52, Chokshi Circle, Bihar Sharif-449948",2024-09-20,147911.53
27VCBST9290X8Z7,VCBST9290X,Lall PLC,Anika Sathe,"52/886, Krishna Street, Gaya-323358",2021-03-09,10874521.45
27UBCNU4517Q3Z2,UBCNU4517Q,Ramanathan and Sons,Zaid Sahni,"275, Som Road, Sri Ganganagar 535587",2024-10-19,20659376.38
24EKYPA0932E1ZK,EKYPA0932E,Sethi-Vohra,Naksh Keer,"H.No. 77, Manda Chowk, Jabalpur 602612",2020-07-12,26848101.04
33IRPEW8962K8ZF,IRPEW8962K,"Bahri, Desai and Borra",Hredhaan Khare,"H.No. 670, Naidu Ganj, Tirunelveli 056689",2025-04-06,5734338.79
19XJDDK6168M1ZW,XJDDK6168M,Dixit-Khalsa,Balhaar Devi,"H.No. 213, Shere Chowk, Chapra 561942",2015-01-18,3191271.31
07OLDLF0821X7ZJ,OLDLF0821X,"Thakkar, Sridhar and Boase",Yuvraj Palla,"58/373, Puri Path, Gorakhpur-267154",2016-10-23,4390398.35
36IQYQS5099L9Z5,IQYQS5099L,Mani LLC,Devansh Kamdar,"H.No. 368, Joshi Nagar, Panchkula-417435",2014-11-18,5436845.77
06XVOLH0410U7ZQ,XVOLH0410U,Tiwari-Pandey,Yuvraj Shenoy,"64/962, Bali Zila, Kurnool-573666",2018-10-25,17700348.79
32CHMTQ0967I7ZO,CHMTQ0967I,Mital-Mital,Maanas Atwal,"291, Samra Marg, Dehradun-470418",2024-03-07,2111512.56
24UCQYM4246E2Z6,UCQYM4246E,"Talwar, Tank and Baria",Wakeeta Natt,"24/52, Wable Street, Pondicherry 677395",2016-11-24,12203679.70
24UMBOI6126X4Z7,UMBOI6126X,Trivedi Ltd,Oscar Wable,"71/05, Sarkar Nagar, Asansol 733611",2019-08-25,8547587.62
33TKLMB2226V4ZO,TKLMB2226V,Sawhney-Reddy,Mason Khare,"36, Gera Circle, Naihati 934060",2022-11-20,27815258.72
07YNUAT0111X3Z6,YNUAT0111X,"Handa, Gade and Lad",Chaitaly Khosla,"53, Deo Nagar, Katihar 608572",2018-09-14,3102930.97
33ZIXNC4504G5ZM,ZIXNC4504G,Swamy Ltd,Siya Yohannan,"626, Divan Chowk, Jehanabad-513272",2022-09-11,10135368.78
27FODAF7319E8ZD,FODAF7319E,Deol-Banik,Dominic Pal,"H.No. 005, Mishra Circle, Faridabad-174523",2014-10-17,12195593.68
09KIBXY9952R3Z4,KIBXY9952R,Arya Inc,Manthan Deep,"09/33, Sathe Path, Anand-918075",2017-01-27,9070691.35
36XGOPM4689Q1ZT,XGOPM4689Q,Barad-Maharaj,Gautami Thaman,"H.No. 803, Krishna Nagar, Bhind 473296",2023-07-18,26488194.67
07CRZEK1633G8ZM,CRZEK1633G,"Ahuja, Bakshi and Kala",Bishakha Keer,"48/718, Kale Circle, Suryapet-118855",2016-10-05,13970339.44
33RIFAN8186S5ZN,RIFAN8186S,Comar Inc,Eiravati Chopra,"875, Iyengar Road, South Dumdum-020667",2023-10-29,6270754.93
29LWGDK6494D5Z5,LWGDK6494D,Barman-Rege,Balvan Srivastava,"H.No. 38, Bakshi Path, Danapur-583866",2022-07-22,2661138.84
07XHWKR5650M9ZQ,XHWKR5650M,Sura and Sons,Meera Sanghvi,"44/26, Shere, Belgaum-162879",2022-07-13,9964468.69
33FHKWT7008H2ZX,FHKWT7008H,Goswami-Warrior,Farhan Subramanian,"46/00, Korpal Marg, Thiruvananthapuram 837696",2025-10-28,19751004.94
32MBCQI2731R3ZH,MBCQI2731R,Pradhan and Sons,Ganga Pathak,"H.No. 81, Mangal Nagar, Vellore 906386",2017-11-07,21210092.97
36YKVDR5670M5ZH,YKVDR5670M,"Subramaniam, Memon and Kumar",George Tella,"35, Chana Ganj, Jalandhar 372800",2021-12-29,3166517.08
27NRCUW3688G6Z6,NRCUW3688G,Shukla PLC,Nidhi Bains,"H.No. 21, Acharya Ganj, Rewa-219234",2015-12-06,23542618.37
19JVDLT4524B3ZI,JVDLT4524B,Nanda Ltd,Chakrika Raval,"H.No. 748, Amble Marg, Singrauli 674906",2020-09-22,5454956.46
32SBUII9948E5Z8,SBUII9948E,Ramanathan Group,Widisha Chakraborty,"H.No. 00, Nayak Nagar, Sultan Pur Majra 244599",2018-03-03,30010329.57
09UQZMX2432J3ZK,UQZMX2432J,Sethi-Radhakrishnan,Kamala Nadkarni,"70, Nayak, Ongole 024561",2022-06-28,2885447.82
36HXXRX9600F8ZK,HXXRX9600F,Narang Ltd,Samar Pandya,"76/81, Rana, Raichur-694072",2015-02-10,4710296.82
33YLKQP4787V5ZA,YLKQP4787V,Varughese-Singhal,Hemal Prasad,"24/01, Konda Ganj, Aligarh 569849",2016-06-03,4731306.64
07EXCGN0261Z2Z4,EXCGN0261Z,Morar LLC,Ishaan Patel,"91, Comar Chowk, Bangalore-570022",2014-11-26,88547.54
33KRGFE0566Z2Z9,KRGFE0566Z,"Shenoy, Contractor and Bava",Odika Krishnan,"83/979, Wable, Unnao 567838",2018-08-07,2072335.96
